id,geo,suburb,postcode,rent,Monash University - Clayton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3066, 'Collingwood North')","(-37.8, 144.98)",Collingwood North,3066,350,22.9 km,1620,71,91,TRUE,22.9 km,3.5 km,14,25
"(3066, 'Collingwood')","(-37.8, 144.98)",Collingwood,3066,350,22.9 km,1620,71,91,TRUE,22.9 km,3.5 km,14,25
"(3050, 'Royal Melbourne Hospital')","(-37.8, 144.96)",Royal Melbourne Hospital,3050,300,23.0 km,412.5140736,61,78,TRUE,23.0 km,2.1 km,13,13
"(3052, 'Melbourne University')","(-37.8, 144.96)",Melbourne University,3052,300,23.0 km,759,64,73,TRUE,23.0 km,2.0 km,10,11
"(3010, 'University Of Melbourne')","(-37.8, 144.96)",University Of Melbourne,3010,300,23.0 km,412.5140736,64,73,TRUE,23.0 km,2.0 km,10,11
"(3122, 'Hawthorn')","(-37.84, 145.05)",Hawthorn,3122,350,23.1 km,3899,57,72,TRUE,23.1 km,8.9 km,18,26
"(3122, 'Hawthorn North')","(-37.84, 145.05)",Hawthorn North,3122,350,23.1 km,3899,57,72,TRUE,23.1 km,8.9 km,18,26
"(3158, 'Upwey')","(-37.9, 145.33)",Upwey,3158,330,23.2 km,1888,66,93,TRUE,23.2 km,40.7 km,47,64
"(3195, 'Mordialloc')","(-38.03, 145.1)",Mordialloc,3195,310,23.6 km,789,75,67,TRUE,23.6 km,28.1 km,42,68
"(3195, 'Mordialloc North')","(-38.03, 145.1)",Mordialloc North,3195,310,23.6 km,789,75,67,TRUE,23.6 km,28.1 km,42,68
"(3135, 'Bedford Road')","(-37.82, 145.25)",Bedford Road,3135,350,23.8 km,479,74,65,TRUE,23.8 km,27.4 km,37,59
"(3805, 'Narre Warren')","(-38.02, 145.3)",Narre Warren,3805,288,23.8 km,109,57,71,TRUE,23.8 km,41.9 km,41,74
"(3160, 'Tecoma')","(-37.91, 145.36)",Tecoma,3160,300,23.8 km,221,62,97,TRUE,23.8 km,42.0 km,47,69
"(3805, 'Fountain Gate')","(-38.02, 145.3)",Fountain Gate,3805,288,23.9 km,10,61,74,TRUE,23.9 km,42.6 km,38,76
"(3053, 'Carlton')","(-37.78, 144.97)",Carlton,3053,255,24.0 km,2227,70,80,TRUE,24.0 km,3.2 km,11,19
"(3068, 'Fitzroy North')","(-37.79, 144.99)",Fitzroy North,3068,330,24.0 km,1006,70,91,TRUE,24.0 km,4.7 km,17,23
"(3054, 'Carlton North')","(-37.78, 144.97)",Carlton North,3054,320,24.1 km,459,69,88,TRUE,24.1 km,4.7 km,15,22
"(3067, 'Abbotsford')","(-37.8, 145.0)",Abbotsford,3067,350,24.1 km,1398,71,87,TRUE,24.1 km,4.7 km,17,24
"(3051, 'Hotham Hill')","(-37.91, 145.06)",Hotham Hill,3051,310,24.2 km,1788,69,85,TRUE,24.2 km,3.2 km,19,20
"(3135, 'Heathmont')","(-37.82, 145.25)",Heathmont,3135,350,24.2 km,2799,65,77,TRUE,24.2 km,28.7 km,36,48
"(3006, 'South Wharf')","(-37.82, 144.97)",South Wharf,3006,330,24.3 km,178,63,85,TRUE,24.3 km,1.9 km,17,16
"(3135, 'Ringwood East')","(-37.82, 145.25)",Ringwood East,3135,350,24.3 km,2799,66,73,TRUE,24.3 km,28.8 km,37,56
"(3175, 'Dandenong South')","(-38.03, 145.18)",Dandenong South,3175,250,24.3 km,386,69,68,TRUE,24.3 km,38.2 km,42,86
"(3164, 'Dandenong South')","(-38.02, 145.24)",Dandenong South,3164,300,24.3 km,431,69,68,TRUE,24.3 km,38.2 km,42,86
"(3137, 'Kilsyth South')","(-37.8, 145.31)",Kilsyth South,3137,350,24.3 km,519,91,404,TRUE,24.3 km,39.5 km,46,99
"(3104, 'Balwyn North')","(-37.79, 145.07)",Balwyn North,3104,338,24.7 km,1307,80,83,TRUE,24.7 km,12.5 km,26,54
"(3057, 'Sumner')","(-37.76, 144.98)",Sumner,3057,350,24.9 km,796,71,99,TRUE,24.9 km,5.6 km,19,26
"(3114, 'Park Orchards')","(-37.78, 145.21)",Park Orchards,3114,340,25.0 km,851,75,92,TRUE,25.0 km,30.0 km,38,71
"(3166, 'Huntingdale')","(-37.9, 145.08)",Huntingdale,3166,290,3.0 km,320,17,15,TRUE,3.0 km,19.9 km,27,51
