,id,geo,suburb,postcode,rent,La Trobe University - Bundoora,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
108,"(3186, 'Brighton North')","(-37.91, 144.99)",Brighton North,3186,315,11.02454167,784,84,96,TRUE,27.2 km,12.7 km,29,33
110,"(3186, 'Were Street Po')","(-37.91, 144.99)",Were Street Po,3186,300,11.02454167,555,104,110,TRUE,30.6 km,16.1 km,33,45
111,"(3068, 'Fitzroy North')","(-37.79, 144.99)",Fitzroy North,3068,330,11.03023057,1006,45,40,TRUE,14.1 km,4.7 km,17,23
112,"(3068, 'Clifton Hill')","(-37.79, 144.99)",Clifton Hill,3068,330,11.03023057,405,45,41,TRUE,12.8 km,6.3 km,20,24
114,"(3022, 'Ardeer')","(-37.78, 144.8)",Ardeer,3022,250,11.09453805,273,89,97,TRUE,35.1 km,17.4 km,39,50
115,"(3187, 'Brighton East')","(-37.9, 145.0)",Brighton East,3187,300,11.14129528,65,101,115,TRUE,31.2 km,15.0 km,31,64
117,"(3067, 'Abbotsford')","(-37.8, 145.0)",Abbotsford,3067,350,11.14697149,1398,44,53,TRUE,15.1 km,4.7 km,17,24
118,"(3143, 'Armadale North')","(-37.86, 145.02)",Armadale North,3143,330,11.46750254,2932,75,95,TRUE,22.4 km,8.0 km,21,24
119,"(3143, 'Armadale')","(-37.86, 145.02)",Armadale,3143,300,11.46750254,1326,75,95,TRUE,22.4 km,8.0 km,21,24
120,"(3027, 'Williams Landing')","(-37.86, 144.76)",Williams Landing,3027,250,11.46750254,488,114,117,TRUE,44.6 km,26.5 km,32,55
121,"(3144, 'Kooyong')","(-37.84, 145.03)",Kooyong,3144,330,12.34327804,2932,73,83,TRUE,22.3 km,7.8 km,16,25
122,"(3144, 'Malvern North')","(-37.84, 145.03)",Malvern North,3144,310,12.34327804,781,89,95,TRUE,26.4 km,8.4 km,18,37
123,"(3144, 'Malvern')","(-37.84, 145.03)",Malvern,3144,330,12.34327804,2932,91,97,TRUE,27.0 km,8.9 km,17,39
124,"(3041, 'Essendon Fields')","(-37.74, 144.91)",Essendon Fields,3041,300,12.35705696,174,85,94,TRUE,24.7 km,13.5 km,28,57
125,"(3041, 'Strathmore')","(-37.74, 144.91)",Strathmore,3041,300,12.35705696,338,75,62,TRUE,17.1 km,12.2 km,24,58
126,"(3041, 'Essendon North')","(-37.74, 144.91)",Essendon North,3041,300,12.35705696,262,70,61,TRUE,19.4 km,11.4 km,28,49
127,"(3041, 'Strathmore Heights')","(-37.74, 144.91)",Strathmore Heights,3041,300,12.35705696,38,99,85,TRUE,26.4 km,17.3 km,29,55
128,"(3162, 'Hopetoun Gardens')","(-37.88, 145.03)",Hopetoun Gardens,3162,300,12.73444172,52,92,113,TRUE,25.4 km,10.0 km,29,45
129,"(3162, 'Caulfield South')","(-37.88, 145.03)",Caulfield South,3162,300,12.73444172,15,105,102,TRUE,30.5 km,12.5 km,30,50
130,"(3162, 'Caulfield')","(-37.88, 145.03)",Caulfield,3162,300,12.73444172,220,103,105,TRUE,27.2 km,11.7 km,26,53
131,"(3057, 'Lygon Street North')","(-37.76, 144.98)",Lygon Street North,3057,350,12.75427778,796,53,53,TRUE,12.8 km,6.0 km,20,31
132,"(3057, 'Sumner')","(-37.76, 144.98)",Sumner,3057,350,12.75427778,796,53,48,TRUE,15.3 km,5.6 km,19,26
133,"(3057, 'Brunswick East')","(-37.76, 144.98)",Brunswick East,3057,350,12.75427778,796,55,52,TRUE,12.5 km,5.8 km,21,26
