,id,geo,suburb,postcode,rent,Monash University - Caulfield,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
59,"(3181, 'Prahran East')","(-37.85, 144.99)",Prahran East,3181,270,5.512982689,903,19,19,TRUE,6.1 km,6.7 km,19,33
60,"(3181, 'Prahran')","(-37.85, 144.99)",Prahran,3181,270,5.512982689,412.5140736,19,19,TRUE,6.1 km,6.7 km,19,33
61,"(3181, 'Windsor')","(-37.85, 144.99)",Windsor,3181,270,5.512982689,209,19,19,TRUE,8.7 km,6.9 km,20,22
62,"(3189, 'Moorabbin')","(-37.93, 145.04)",Moorabbin,3189,380,5.559754186,1114,33,39,TRUE,10.6 km,22.4 km,33,65
63,"(3189, 'Moorabbin East')","(-37.93, 145.04)",Moorabbin East,3189,380,5.559754186,606,33,39,TRUE,10.6 km,22.4 km,33,65
65,"(3123, 'Hawthorn East')","(-37.83, 145.04)",Hawthorn East,3123,300,5.559754186,1371,39,28,TRUE,16.1 km,9.2 km,20,43
67,"(3188, 'Hampton East')","(-37.93, 145.03)",Hampton East,3188,380,5.628555097,1114,25,24,TRUE,7.8 km,18.6 km,35,52
68,"(3188, 'Hampton North')","(-37.93, 145.03)",Hampton North,3188,380,5.628555097,1114,37,41,TRUE,12.3 km,18.0 km,36,50
69,"(3188, 'Hampton')","(-37.93, 145.03)",Hampton,3188,380,5.628555097,1114,40,40,TRUE,19.3 km,17.5 km,33,43
70,"(3205, 'South Melbourne')","(-37.93, 145.03)",South Melbourne,3205,260,5.628555097,1870,35,31,TRUE,12.9 km,2.9 km,13,16
71,"(3205, 'South Melbourne DC')","(-37.93, 145.03)",South Melbourne DC,3205,260,5.628555097,175,35,31,TRUE,12.9 km,2.9 km,13,16
73,"(3142, 'Toorak')","(-37.84, 145.0)",Toorak,3142,300,5.666945344,22,29,28,TRUE,9.2 km,7.9 km,17,43
74,"(3165, 'Bentleigh East')","(-37.93, 145.06)",Bentleigh East,3165,300,5.830088341,431,25,25,TRUE,6.5 km,18.2 km,29,49
77,"(3121, 'Richmond')","(-37.83, 145.01)",Richmond,3121,340,6.152086793,49,21,24,TRUE,9.6 km,4.0 km,15,21
78,"(3552, 'Bendigo')","(-37.83, 145.01)",Bendigo,3552,288,6.152086793,205,146,156,TRUE,177 km,165 km,117,146
79,"(3121, 'Burnley North')","(-37.83, 145.01)",Burnley North,3121,340,6.152086793,106,27,25,TRUE,10.8 km,6.3 km,13,26
80,"(3121, 'Cremorne')","(-37.83, 145.01)",Cremorne,3121,340,6.152086793,91,23,22,TRUE,9.3 km,3.8 km,14,24
81,"(3121, 'Richmond North')","(-37.83, 145.01)",Richmond North,3121,350,6.152086793,123,854,885,TRUE,"1,025 km",793 km,545,946
82,"(3121, 'Richmond South')","(-37.83, 145.01)",Richmond South,3121,350,6.152086793,3899,21,24,TRUE,9.6 km,4.0 km,15,21
83,"(3121, 'Burnley')","(-37.83, 145.01)",Burnley,3121,340,6.152086793,55,27,25,TRUE,10.8 km,6.3 km,13,26
84,"(3126, 'Camberwell East')","(-37.84, 145.09)",Camberwell East,3126,330,6.249050648,1002,28,26,TRUE,15.9 km,11.5 km,24,27
85,"(3126, 'Canterbury')","(-37.84, 145.09)",Canterbury,3126,330,6.249050648,1002,37,35,TRUE,16.6 km,12.2 km,26,36
86,"(8004, 'St Kilda Road')","(-37.84, 144.98)",St Kilda Road,8004,280,6.894085337,6,35,33,TRUE,8.0 km,3.9 km,15,21
87,"(3004, 'St Kilda Road Central')","(-37.84, 144.98)",St Kilda Road Central,3004,300,6.894085337,4831,26,20,TRUE,8.2 km,2.8 km,13,17
88,"(3004, 'Melbourne')","(-37.84, 144.98)",Melbourne,3004,300,6.894085337,4831,29,28,TRUE,9.7 km,2.9 km,14,25
89,"(3124, 'Hartwell')","(-37.82, 145.06)",Hartwell,3124,300,6.898935623,706,38,45,TRUE,18.2 km,13.8 km,22,41
90,"(3124, 'Middle Camberwell')","(-37.82, 145.06)",Middle Camberwell,3124,330,6.898935623,1002,42,41,TRUE,16.9 km,10.0 km,22,44
91,"(3124, 'Camberwell West')","(-37.82, 145.06)",Camberwell West,3124,300,6.898935623,706,36,24,TRUE,8.9 km,11.6 km,18,49
92,"(3124, 'Camberwell South')","(-37.82, 145.06)",Camberwell South,3124,300,6.898935623,1371,49,48,TRUE,13.5 km,13.7 km,19,42
93,"(3124, 'Camberwell North')","(-37.82, 145.06)",Camberwell North,3124,300,6.898935623,1371,42,41,TRUE,16.9 km,10.0 km,22,44
94,"(3124, 'Camberwell')","(-37.82, 145.06)",Camberwell,3124,300,6.898935623,1371,42,41,TRUE,16.9 km,10.0 km,22,44
95,"(3167, 'Oakleigh South')","(-37.93, 145.1)",Oakleigh South,3167,280,7.656529036,939,26,26,TRUE,8.0 km,19.8 km,29,51
96,"(3101, 'Kew')","(-37.81, 145.04)",Kew,3101,300,7.783655861,31,51,46,TRUE,16.9 km,7.4 km,22,36
98,"(3190, 'Highett')","(-37.95, 145.03)",Highett,3190,340,7.832934001,618,18,16,TRUE,8.6 km,19.4 km,36,44
99,"(3149, 'Mount Waverley')","(-37.88, 145.13)",Mount Waverley,3149,240,7.898949472,576,43,36,TRUE,16.8 km,18.5 km,28,42
