id,geo,suburb,postcode,rent,RMIT University - Brunswick,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(8873, 'Port Melbourne')","(-37.85, 144.89)",Port Melbourne,8873,400,10.92920979,14270,54,56,TRUE,11.3 km,5.9 km,20,27
"(3121, 'Cremorne')","(-37.83, 145.01)",Cremorne,3121,340,9.920510534,91,42,47,TRUE,11.4 km,3.8 km,14,24
"(3013, 'Yarraville')","(-37.82, 144.89)",Yarraville,3013,270,7.988486153,850,36,55,TRUE,11.5 km,10.9 km,22,41
"(3073, 'Reservoir')","(-37.69, 145.01)",Reservoir,3073,300,9.924121974,4564,43,59,TRUE,11.5 km,14.9 km,35,46
"(3073, 'Reservoir South')","(-37.69, 145.01)",Reservoir South,3073,300,9.924121974,4564,43,59,TRUE,11.5 km,14.9 km,35,46
"(3073, 'Reservoir East')","(-37.69, 145.01)",Reservoir East,3073,300,9.924121974,4564,43,59,TRUE,11.5 km,14.9 km,35,46
"(3081, 'Heidelberg West')","(-37.75, 145.05)",Heidelberg West,3081,330,9.73435054,938,42,38,TRUE,11.6 km,16.4 km,31,55
"(3041, 'Essendon Fields')","(-37.74, 144.91)",Essendon Fields,3041,300,3.450043147,174,44,39,TRUE,11.7 km,13.5 km,27,57
"(3205, 'South Melbourne DC')","(-37.93, 145.03)",South Melbourne DC,3205,260,20.48858663,175,37,41,TRUE,11.8 km,2.9 km,13,16
"(3205, 'South Melbourne')","(-37.93, 145.03)",South Melbourne,3205,260,20.48858663,1870,37,41,TRUE,11.8 km,2.9 km,13,16
"(3012, 'Tottenham')","(-37.81, 144.85)",Tottenham,3012,260,9.667737322,114,44,46,TRUE,11.9 km,11.8 km,26,47
"(3060, 'Fawkner East')","(-37.76, 144.9)",Fawkner East,3060,285,3.516356397,831,36,36,TRUE,12.0 km,17.5 km,35,55
"(3060, 'Fawkner North')","(-37.76, 144.9)",Fawkner North,3060,285,3.516356397,831,36,36,TRUE,12.0 km,17.5 km,35,55
"(3060, 'Fawkner')","(-37.76, 144.9)",Fawkner,3060,285,3.516356397,831,36,36,TRUE,12.0 km,17.5 km,35,55
"(3042, 'Niddrie')","(-37.71, 144.89)",Niddrie,3042,300,7.088290459,298,49,39,TRUE,12.1 km,13.0 km,28,60
"(3042, 'Airport West')","(-37.71, 144.89)",Airport West,3042,300,7.088290459,819,51,49,TRUE,12.3 km,13.9 km,27,62
"(3081, 'Heidelberg Heights')","(-37.75, 145.05)",Heidelberg Heights,3081,330,9.73435054,627,52,48,TRUE,12.5 km,15.9 km,31,53
"(3073, 'Keon Park')","(-37.69, 145.01)",Keon Park,3073,300,9.924121974,4564,38,63,TRUE,12.5 km,16.8 km,36,41
"(3122, 'Hawthorn West')","(-37.84, 145.05)",Hawthorn West,3122,350,13.13541528,3899,50,47,TRUE,12.5 km,5.3 km,17,28
"(3101, 'Kew')","(-37.81, 145.04)",Kew,3101,300,10.39896001,31,54,57,TRUE,12.6 km,7.4 km,22,36
"(3020, 'Sunshine')","(-37.78, 144.82)",Sunshine,3020,233,10.7795405,2403,39,41,TRUE,12.8 km,14.3 km,34,39
"(3102, 'Kew East')","(-37.8, 145.05)",Kew East,3102,300,10.64146985,105,55,59,TRUE,12.9 km,11.9 km,24,51
